Customer_ID,Recency,Frequency,Monetary,Cluster,Segment
CUST1096,36,14,1644.06,0,Regular Customers
CUST1097,6,8,1255.32,0,Regular Customers
CUST1098,305,3,205.41,2,At-Risk Customers
CUST1099,77,6,1065.92,0,Regular Customers
CUST1100,20,7,1699.52,0,Regular Customers
CUST1101,7,26,9237.43,1,High-Value Customers
CUST1102,14,7,567.4,0,Regular Customers
CUST1103,186,3,230.67,2,At-Risk Customers
CUST1104,82,5,626.8199999999999,0,Regular Customers
CUST1105,29,9,1810.0800000000002,0,Regular Customers
CUST1106,47,4,324.42,0,Regular Customers
CUST1107,15,17,4754.89,1,High-Value Customers
CUST1108,41,14,1600.55,0,Regular Customers
CUST1109,5,11,970.9499999999999,0,Regular Customers
CUST1110,32,9,1077.69,0,Regular Customers
CUST1111,286,5,732.4399999999999,2,At-Risk Customers
CUST1112,33,11,1791.6,0,Regular Customers
CUST1113,44,5,518.9200000000001,0,Regular Customers
CUST1114,125,12,1860.82,0,Regular Customers
CUST1115,17,7,1621.24,0,Regular Customers
CUST1116,85,6,1358.2,0,Regular Customers
CUST1117,6,9,1170.03,0,Regular Customers
CUST1118,379,3,322.15,2,At-Risk Customers
CUST1119,151,6,456.83,0,Regular Customers
CUST1120,19,13,2564.08,0,Regular Customers
CUST1121,316,2,177.12,2,At-Risk Customers
CUST1122,23,2,107.92999999999999,0,Regular Customers
CUST1123,58,7,972.5699999999999,0,Regular Customers
CUST1124,46,3,211.16,0,Regular Customers
CUST1125,9,15,3979.88,0,Regular Customers
CUST1126,3,15,2152.4,0,Regular Customers
CUST1127,11,28,9798.04,1,High-Value Customers
CUST1128,95,8,1095.55,0,Regular Customers
CUST1129,54,6,552.0,0,Regular Customers
CUST1130,67,4,489.92,0,Regular Customers
CUST1131,34,14,2152.39,0,Regular Customers
CUST1132,14,23,6244.41,1,High-Value Customers
CUST1133,47,7,1115.59,0,Regular Customers
CUST1134,107,10,1513.09,0,Regular Customers
CUST1135,68,19,4209.99,1,High-Value Customers
CUST1136,19,9,1407.38,0,Regular Customers
CUST1137,5,17,5111.94,1,High-Value Customers
CUST1138,247,4,714.12,2,At-Risk Customers
CUST1139,37,5,506.52,0,Regular Customers
CUST1140,21,21,6135.34,1,High-Value Customers
CUST1141,66,11,1616.88,0,Regular Customers
CUST1142,9,4,298.91,0,Regular Customers
CUST1143,2,13,2401.33,0,Regular Customers
CUST1144,8,10,1744.96,0,Regular Customers
CUST1145,29,12,1657.5,0,Regular Customers
CUST1146,73,11,1775.39,0,Regular Customers
CUST1147,56,2,121.50999999999999,0,Regular Customers
CUST1148,129,3,354.26,0,Regular Customers
CUST1149,12,13,1774.5,0,Regular Customers
CUST1150,25,14,1321.42,0,Regular Customers
CUST1151,121,4,265.31,0,Regular Customers
CUST1152,196,2,65.52,2,At-Risk Customers
CUST1153,24,12,1112.1,0,Regular Customers
CUST1154,12,5,256.21000000000004,0,Regular Customers
CUST1155,93,14,5012.9400000000005,1,High-Value Customers
CUST1156,37,7,1133.6,0,Regular Customers
CUST1157,2,8,1220.27,0,Regular Customers
CUST1158,155,2,259.71,2,At-Risk Customers
CUST1159,43,9,804.47,0,Regular Customers
CUST1160,18,9,1278.3600000000001,0,Regular Customers
CUST1161,14,27,8419.33,1,High-Value Customers
CUST1162,81,2,104.5,0,Regular Customers
CUST1163,43,8,1038.08,0,Regular Customers
CUST1164,263,10,1546.19,2,At-Risk Customers
CUST1165,144,4,777.05,0,Regular Customers
CUST1166,9,24,6118.06,1,High-Value Customers
CUST1167,9,14,1494.89,0,Regular Customers
CUST1168,76,7,794.2,0,Regular Customers
CUST1169,16,15,1856.83,0,Regular Customers
CUST1170,15,20,6253.65,1,High-Value Customers
CUST1171,20,4,508.95,0,Regular Customers
CUST1172,56,7,648.97,0,Regular Customers
CUST1173,4,10,1091.08,0,Regular Customers
CUST1174,82,6,774.76,0,Regular Customers
CUST1175,94,8,1073.42,0,Regular Customers
CUST1176,39,10,1146.92,0,Regular Customers
CUST1177,1,28,8452.57,1,High-Value Customers
CUST1178,5,15,1333.38,0,Regular Customers
CUST1179,21,8,1003.42,0,Regular Customers
CUST1180,13,9,1374.8700000000001,0,Regular Customers
CUST1181,316,5,615.26,2,At-Risk Customers
CUST1182,118,3,498.33,0,Regular Customers
CUST1183,37,6,658.56,0,Regular Customers
CUST1184,1,15,5204.15,1,High-Value Customers
CUST1185,31,15,3075.51,0,Regular Customers
CUST1186,3,13,2244.02,0,Regular Customers
CUST1187,32,8,892.13,0,Regular Customers
CUST1188,35,8,939.96,0,Regular Customers
CUST1189,15,14,2905.71,0,Regular Customers
CUST1190,21,11,1254.39,0,Regular Customers
CUST1191,49,9,1830.18,0,Regular Customers
CUST1192,8,9,2195.18,0,Regular Customers
CUST1193,95,10,1343.44,0,Regular Customers
CUST1194,139,4,746.49,0,Regular Customers
CUST1195,19,10,1439.31,0,Regular Customers
CUST1196,22,8,563.82,0,Regular Customers
CUST1197,215,5,715.38,2,At-Risk Customers
CUST1198,2,28,8797.42,1,High-Value Customers
CUST1199,9,6,806.72,0,Regular Customers
CUST1200,70,10,1613.96,0,Regular Customers
CUST1201,39,4,443.7,0,Regular Customers
CUST1202,91,10,1292.18,0,Regular Customers
CUST1203,53,9,1062.21,0,Regular Customers
CUST1204,38,10,1531.6499999999999,0,Regular Customers
CUST1205,2,13,1947.14,0,Regular Customers
CUST1206,6,10,1306.43,0,Regular Customers
CUST1207,2,15,1712.3,0,Regular Customers
CUST1208,16,22,7888.67,1,High-Value Customers
CUST1209,6,9,1129.36,0,Regular Customers
CUST1210,60,4,187.3,0,Regular Customers
CUST1211,36,7,836.62,0,Regular Customers
CUST1212,227,3,153.59,2,At-Risk Customers
CUST1213,62,11,1712.42,0,Regular Customers
CUST1214,24,13,1718.6100000000001,0,Regular Customers
CUST1215,3,8,546.18,0,Regular Customers
CUST1216,29,6,1139.35,0,Regular Customers
CUST1217,74,6,741.0,0,Regular Customers
CUST1218,83,5,501.48,0,Regular Customers
CUST1219,34,8,998.47,0,Regular Customers
CUST1220,23,11,1455.3,0,Regular Customers
CUST1221,3,8,1074.13,0,Regular Customers
CUST1222,3,6,895.7,0,Regular Customers
CUST1223,12,3,237.86,0,Regular Customers
CUST1224,518,4,428.61,2,At-Risk Customers
CUST1225,22,17,4881.74,1,High-Value Customers
CUST1226,54,7,483.46999999999997,0,Regular Customers
CUST1227,13,4,272.86,0,Regular Customers
CUST1228,7,7,1361.8500000000001,0,Regular Customers
CUST1229,17,9,1094.18,0,Regular Customers
CUST1230,51,7,1352.37,0,Regular Customers
CUST1231,18,27,6657.3,1,High-Value Customers
CUST1232,30,15,2055.33,0,Regular Customers
CUST1233,110,6,535.59,0,Regular Customers
CUST1234,12,5,1195.78,0,Regular Customers
CUST1235,89,8,1718.78,0,Regular Customers
CUST1236,3,19,6499.61,1,High-Value Customers
CUST1237,193,8,866.14,2,At-Risk Customers
CUST1238,53,13,1879.92,0,Regular Customers
CUST1239,45,3,379.74,0,Regular Customers
CUST1240,10,6,794.17,0,Regular Customers
CUST1241,42,10,1206.11,0,Regular Customers
CUST1242,113,5,818.6,0,Regular Customers
CUST1243,95,6,509.26,0,Regular Customers
CUST1244,59,7,877.62,0,Regular Customers
CUST1245,142,7,1000.1,0,Regular Customers
CUST1246,271,2,162.34,2,At-Risk Customers
CUST1247,147,10,1880.98,0,Regular Customers
CUST1248,38,14,2294.58,0,Regular Customers
CUST1249,134,5,467.7,0,Regular Customers
CUST1250,31,7,2036.02,0,Regular Customers
CUST1251,21,15,2480.7200000000003,0,Regular Customers
CUST1252,28,6,766.32,0,Regular Customers
CUST1253,26,14,4261.19,0,Regular Customers
CUST1254,82,7,878.74,0,Regular Customers
CUST1255,14,10,2163.79,0,Regular Customers
CUST1256,14,9,1229.26,0,Regular Customers
CUST1257,11,22,7770.89,1,High-Value Customers
CUST1258,24,8,1159.28,0,Regular Customers
CUST1259,68,13,2061.88,0,Regular Customers
CUST1260,57,6,1067.8400000000001,0,Regular Customers
CUST1261,75,6,1098.8200000000002,0,Regular Customers
CUST1262,56,8,967.51,0,Regular Customers
CUST1263,93,11,1872.73,0,Regular Customers
CUST1264,58,13,2235.04,0,Regular Customers
CUST1265,71,7,940.33,0,Regular Customers
CUST1266,238,3,172.02,2,At-Risk Customers
CUST1267,10,7,734.74,0,Regular Customers
CUST1268,90,8,1617.48,0,Regular Customers
CUST1269,125,7,459.34000000000003,0,Regular Customers
CUST1270,16,15,2692.4900000000002,0,Regular Customers
CUST1271,20,9,1373.65,0,Regular Customers
CUST1272,37,9,1431.74,0,Regular Customers
CUST1273,203,4,352.09999999999997,2,At-Risk Customers
CUST1274,62,4,914.47,0,Regular Customers
CUST1275,22,24,8629.51,1,High-Value Customers
CUST1276,1,22,5291.87,1,High-Value Customers
CUST1277,8,20,5339.09,1,High-Value Customers
CUST1278,11,7,678.79,0,Regular Customers
CUST1279,2,14,1768.69,0,Regular Customers
CUST1280,199,6,621.06,2,At-Risk Customers
CUST1281,221,2,224.38,2,At-Risk Customers
CUST1282,77,8,984.86,0,Regular Customers
CUST1283,90,2,177.08,0,Regular Customers
CUST1284,12,8,1590.81,0,Regular Customers
CUST1285,39,13,2054.62,0,Regular Customers
CUST1286,164,9,867.92,0,Regular Customers
CUST1287,157,9,1313.72,0,Regular Customers
CUST1288,1,25,8090.34,1,High-Value Customers
CUST1289,23,11,2361.4700000000003,0,Regular Customers
CUST1290,2,10,1167.27,0,Regular Customers
CUST1291,4,20,4320.63,1,High-Value Customers
CUST1292,36,3,89.76,0,Regular Customers
CUST1293,26,6,580.61,0,Regular Customers
CUST1294,99,10,1069.91,0,Regular Customers
CUST1295,24,6,541.03,0,Regular Customers
CUST1296,130,3,226.17,0,Regular Customers
CUST1297,6,12,1920.95,0,Regular Customers
CUST1298,13,25,7624.16,1,High-Value Customers
CUST1299,65,21,7375.65,1,High-Value Customers
CUST1300,11,10,1242.97,0,Regular Customers
CUST1301,25,8,1164.45,0,Regular Customers
CUST1302,37,7,604.49,0,Regular Customers
CUST1303,57,8,1270.55,0,Regular Customers
CUST1304,395,2,95.23,2,At-Risk Customers
CUST1305,1,24,4987.66,1,High-Value Customers
CUST1306,53,15,3897.22,0,Regular Customers
CUST1307,80,9,1129.11,0,Regular Customers
CUST1308,10,10,1489.79,0,Regular Customers
CUST1309,20,5,445.93,0,Regular Customers
CUST1310,1,10,1162.52,0,Regular Customers
CUST1311,18,10,2674.87,0,Regular Customers
CUST1312,13,9,1416.0900000000001,0,Regular Customers
CUST1313,39,12,1909.71,0,Regular Customers
CUST1314,6,24,9447.95,1,High-Value Customers
CUST1315,15,6,395.62,0,Regular Customers
CUST1316,62,4,236.8,0,Regular Customers
CUST1317,41,7,1089.65,0,Regular Customers
CUST1318,18,4,504.04,0,Regular Customers
CUST1319,36,11,1220.82,0,Regular Customers
CUST1320,231,6,804.45,2,At-Risk Customers
CUST1321,255,6,1016.28,2,At-Risk Customers
CUST1322,22,10,1526.93,0,Regular Customers
CUST1323,1,10,1615.28,0,Regular Customers
CUST1324,39,8,919.61,0,Regular Customers
CUST1325,23,27,9389.28,1,High-Value Customers
CUST1326,175,3,451.99,2,At-Risk Customers
CUST1327,19,13,1328.78,0,Regular Customers
CUST1328,131,8,1443.91,0,Regular Customers
CUST1329,27,9,906.4300000000001,0,Regular Customers
CUST1330,7,7,1388.95,0,Regular Customers
CUST1331,28,6,874.7099999999999,0,Regular Customers
CUST1332,13,12,1677.09,0,Regular Customers
CUST1333,35,3,176.47,0,Regular Customers
CUST1334,14,16,3494.0,0,Regular Customers
CUST1335,19,6,859.9300000000001,0,Regular Customers
CUST1336,60,10,1940.68,0,Regular Customers
CUST1337,80,9,1728.18,0,Regular Customers
CUST1338,85,6,754.3,0,Regular Customers
CUST1339,122,10,1404.29,0,Regular Customers
CUST1340,48,15,2020.48,0,Regular Customers
CUST1341,52,4,486.14,0,Regular Customers
CUST1342,5,13,1779.04,0,Regular Customers
CUST1343,11,14,4276.070000000001,0,Regular Customers
CUST1344,23,7,964.26,0,Regular Customers
CUST1345,29,7,1016.73,0,Regular Customers
CUST1346,77,10,1211.8700000000001,0,Regular Customers
CUST1347,24,7,962.65,0,Regular Customers
CUST1348,9,13,1550.15,0,Regular Customers
CUST1349,13,2,170.74,0,Regular Customers
CUST1350,63,12,2243.08,0,Regular Customers
CUST1351,12,8,864.34,0,Regular Customers
CUST1352,32,2,245.52,0,Regular Customers
CUST1353,79,7,689.45,0,Regular Customers
CUST1354,1,24,7977.49,1,High-Value Customers
CUST1355,13,5,630.48,0,Regular Customers
CUST1356,31,13,1786.14,0,Regular Customers
CUST1357,3,7,836.7,0,Regular Customers
CUST1358,44,11,1460.93,0,Regular Customers
CUST1359,3,27,7943.58,1,High-Value Customers
CUST1360,14,7,628.74,0,Regular Customers
CUST1361,256,3,419.44,2,At-Risk Customers
CUST1362,69,7,1155.92,0,Regular Customers
CUST1363,94,3,248.95,0,Regular Customers
CUST1364,3,3,404.79,0,Regular Customers
CUST1365,39,11,1089.88,0,Regular Customers
CUST1366,445,2,85.94,2,At-Risk Customers
CUST1367,20,11,2780.29,0,Regular Customers
CUST1368,36,4,677.31,0,Regular Customers
CUST1369,3,18,5101.67,1,High-Value Customers
CUST1370,50,8,941.87,0,Regular Customers
CUST1371,33,4,662.89,0,Regular Customers
CUST1372,15,7,800.98,0,Regular Customers
CUST1373,24,4,281.75,0,Regular Customers
CUST1374,321,3,349.26,2,At-Risk Customers
CUST1375,77,11,1570.55,0,Regular Customers
CUST1376,6,24,8118.2699999999995,1,High-Value Customers
CUST1377,89,6,1025.72,0,Regular Customers
CUST1378,17,13,1762.8700000000001,0,Regular Customers
CUST1379,27,11,2458.45,0,Regular Customers
CUST1380,94,6,713.19,0,Regular Customers
CUST1381,139,3,401.39,0,Regular Customers
CUST1382,32,8,1679.55,0,Regular Customers
CUST1383,41,7,1323.71,0,Regular Customers
CUST1384,13,10,1362.55,0,Regular Customers
CUST1385,88,15,3536.09,0,Regular Customers
CUST1386,5,9,1791.18,0,Regular Customers
CUST1387,6,21,5497.15,1,High-Value Customers
CUST1388,45,7,1473.35,0,Regular Customers
CUST1389,169,7,1028.96,2,At-Risk Customers
CUST1390,575,2,100.48,2,At-Risk Customers
CUST1391,111,9,1463.29,0,Regular Customers
CUST1392,24,7,355.45,0,Regular Customers
CUST1393,26,7,1826.94,0,Regular Customers
CUST1394,9,2,243.97,0,Regular Customers
CUST1395,4,25,7830.27,1,High-Value Customers
CUST1396,78,11,1205.6100000000001,0,Regular Customers
CUST1397,16,10,1808.25,0,Regular Customers
CUST1398,65,7,589.27,0,Regular Customers
CUST1399,162,4,845.97,2,At-Risk Customers
CUST1400,94,13,1623.67,0,Regular Customers
