Invoice_No,Invoice_Date,Customer_ID,Product,Quantity,Unit_Price,Country
INV502072,2025-01-01 00:00:00,CUST1207,Gaming Mouse Pad,3,19.84,India
INV502134,2025-01-01 00:00:00,CUST1213,Portable SSD,4,77.84,India
INV502134,2025-01-01 00:00:00,CUST1213,Backpack,2,40.39,India
INV502134,2025-01-01 00:00:00,CUST1213,Bluetooth Speaker,4,37.39,India
INV502178,2025-01-01 00:00:00,CUST1218,Water Bottle,3,11.32,India
INV502178,2025-01-01 00:00:00,CUST1218,Fitness Band,1,28.43,United Kingdom
INV502209,2025-01-01 00:00:00,CUST1222,Headphones,2,47.12,United Kingdom
INV502209,2025-01-01 00:00:00,CUST1222,Headphones,3,49.51,India
INV502209,2025-01-01 00:00:00,CUST1222,Webcam,3,49.91,UAE
INV502258,2025-01-01 00:00:00,CUST1229,Charging Cable,2,7.04,Singapore
INV502258,2025-01-01 00:00:00,CUST1229,Bluetooth Speaker,3,43.88,India
INV502285,2025-01-01 00:00:00,CUST1231,Notebook Set,5,10.66,UAE
INV502401,2025-01-01 00:00:00,CUST1243,HDMI Cable,3,7.95,India
INV502401,2025-01-01 00:00:00,CUST1243,Bluetooth Speaker,2,30.24,UAE
INV502470,2025-01-01 00:00:00,CUST1252,Wireless Mouse,1,17.99,India
INV502634,2025-01-01 00:00:00,CUST1269,Mini Tripod,3,9.49,India
INV502813,2025-01-01 00:00:00,CUST1287,Mechanical Keyboard,1,53.01,India
INV502813,2025-01-01 00:00:00,CUST1287,Desk Lamp,4,26.26,Singapore
INV502813,2025-01-01 00:00:00,CUST1287,Mechanical Keyboard,2,58.65,India
INV502992,2025-01-01 00:00:00,CUST1302,Bluetooth Speaker,3,34.52,United Kingdom
INV502992,2025-01-01 00:00:00,CUST1302,Mechanical Keyboard,2,43.18,India
INV502992,2025-01-01 00:00:00,CUST1302,Desk Lamp,2,19.64,United Kingdom
INV503000,2025-01-01 00:00:00,CUST1303,Fitness Band,2,36.1,India
INV503000,2025-01-01 00:00:00,CUST1303,USB-C Hub,1,29.43,UAE
INV503066,2025-01-01 00:00:00,CUST1308,HDMI Cable,3,8.06,India
INV503066,2025-01-01 00:00:00,CUST1308,Portable SSD,4,73.4,UAE
INV503106,2025-01-01 00:00:00,CUST1313,Laptop Stand,3,36.69,Singapore
INV503164,2025-01-01 00:00:00,CUST1319,Webcam,3,44.43,UAE
INV503307,2025-01-01 00:00:00,CUST1334,Desk Lamp,2,31.04,India
INV503307,2025-01-01 00:00:00,CUST1334,Smartwatch Strap,5,17.89,India
INV503307,2025-01-01 00:00:00,CUST1334,Webcam,2,62.59,India
INV503473,2025-01-01 00:00:00,CUST1353,Phone Case,3,9.38,India
INV503473,2025-01-01 00:00:00,CUST1353,Headphones,1,44.11,India
INV503503,2025-01-01 00:00:00,CUST1355,Wireless Mouse,4,16.44,UAE
INV503503,2025-01-01 00:00:00,CUST1355,Gaming Mouse Pad,2,13.32,India
INV503503,2025-01-01 00:00:00,CUST1355,Smartwatch Strap,2,11.41,India
INV503658,2025-01-01 00:00:00,CUST1374,Desk Lamp,3,18.0,India
INV503729,2025-01-01 00:00:00,CUST1380,USB-C Hub,1,26.71,Singapore
INV503742,2025-01-01 00:00:00,CUST1383,Phone Case,3,10.6,UAE
INV503769,2025-01-01 00:00:00,CUST1385,Laptop Stand,4,35.49,India
INV503769,2025-01-01 00:00:00,CUST1385,Wireless Mouse,3,20.06,India
INV503769,2025-01-01 00:00:00,CUST1385,Water Bottle,4,18.0,India
INV503773,2025-01-01 00:00:00,CUST1386,Power Bank,1,29.64,UAE
INV503773,2025-01-01 00:00:00,CUST1386,Headphones,4,52.34,Singapore
INV503839,2025-01-01 00:00:00,CUST1393,Mini Tripod,4,13.23,India
INV503839,2025-01-01 00:00:00,CUST1393,Wireless Mouse,4,22.59,India
INV503839,2025-01-01 00:00:00,CUST1393,Bluetooth Speaker,1,47.96,India
INV500185,2025-01-02 00:00:00,CUST1014,Backpack,4,45.57,India
INV500185,2025-01-02 00:00:00,CUST1014,Wireless Mouse,2,20.44,Singapore
INV500191,2025-01-02 00:00:00,CUST1016,Fitness Band,2,27.36,United Kingdom
INV500191,2025-01-02 00:00:00,CUST1016,Backpack,2,31.27,United Kingdom
INV500276,2025-01-02 00:00:00,CUST1025,Notebook Set,3,9.28,India
INV500351,2025-01-02 00:00:00,CUST1029,Charging Cable,1,7.42,UAE
INV500351,2025-01-02 00:00:00,CUST1029,Charging Cable,3,7.03,United Kingdom
INV500478,2025-01-02 00:00:00,CUST1045,HDMI Cable,2,10.43,India
INV500478,2025-01-02 00:00:00,CUST1045,Backpack,4,51.49,India
INV500783,2025-01-02 00:00:00,CUST1077,Gaming Mouse Pad,2,17.65,India
INV500783,2025-01-02 00:00:00,CUST1077,HDMI Cable,1,9.44,India
INV500783,2025-01-02 00:00:00,CUST1077,Fitness Band,1,37.43,India
INV501375,2025-01-02 00:00:00,CUST1137,Notebook Set,5,8.79,India
INV501375,2025-01-02 00:00:00,CUST1137,USB-C Hub,3,37.38,India
INV501375,2025-01-02 00:00:00,CUST1137,Wireless Mouse,5,25.48,Singapore
INV501567,2025-01-02 00:00:00,CUST1159,Bluetooth Speaker,4,43.28,India
INV501598,2025-01-02 00:00:00,CUST1161,Gaming Mouse Pad,4,19.99,India
INV501598,2025-01-02 00:00:00,CUST1161,Backpack,3,47.39,Singapore
INV501598,2025-01-02 00:00:00,CUST1161,Smartwatch Strap,4,13.55,India
INV501825,2025-01-02 00:00:00,CUST1182,Smartwatch Strap,1,10.51,Singapore
INV501825,2025-01-02 00:00:00,CUST1182,Water Bottle,3,13.16,India
INV501825,2025-01-02 00:00:00,CUST1182,Wireless Mouse,2,19.11,India
INV501964,2025-01-02 00:00:00,CUST1196,Laptop Stand,2,29.87,Singapore
INV502036,2025-01-02 00:00:00,CUST1203,Charging Cable,3,5.99,India
INV502119,2025-01-02 00:00:00,CUST1210,Bluetooth Speaker,2,43.48,India
INV502208,2025-01-02 00:00:00,CUST1222,Backpack,3,36.51,India
INV502208,2025-01-02 00:00:00,CUST1222,USB-C Hub,2,31.24,India
INV502335,2025-01-02 00:00:00,CUST1236,Webcam,3,65.85,United Kingdom
INV502584,2025-01-02 00:00:00,CUST1263,Charging Cable,2,7.78,India
INV502584,2025-01-02 00:00:00,CUST1263,Portable SSD,2,98.81,Singapore
INV502584,2025-01-02 00:00:00,CUST1263,USB-C Hub,4,33.24,India
INV502765,2025-01-02 00:00:00,CUST1280,Charging Cable,3,7.08,United Kingdom
INV502945,2025-01-02 00:00:00,CUST1298,Bluetooth Speaker,3,51.2,India
INV502945,2025-01-02 00:00:00,CUST1298,Webcam,5,63.23,United Kingdom
INV502945,2025-01-02 00:00:00,CUST1298,Wireless Mouse,3,27.03,India
INV503243,2025-01-02 00:00:00,CUST1327,Mini Tripod,1,11.28,India
INV503243,2025-01-02 00:00:00,CUST1327,Mechanical Keyboard,2,51.39,India
INV503243,2025-01-02 00:00:00,CUST1327,Bluetooth Speaker,1,33.29,Singapore
INV503268,2025-01-02 00:00:00,CUST1329,HDMI Cable,3,8.2,India
INV503268,2025-01-02 00:00:00,CUST1329,USB-C Hub,1,26.16,Singapore
INV503268,2025-01-02 00:00:00,CUST1329,Gaming Mouse Pad,2,15.04,India
INV503512,2025-01-02 00:00:00,CUST1356,Backpack,3,40.01,India
INV503512,2025-01-02 00:00:00,CUST1356,Wireless Mouse,3,20.7,India
INV503512,2025-01-02 00:00:00,CUST1356,Backpack,3,42.2,India
INV503765,2025-01-02 00:00:00,CUST1385,Portable SSD,2,104.77,United Kingdom
INV503765,2025-01-02 00:00:00,CUST1385,Bluetooth Speaker,2,48.45,United Kingdom
INV503765,2025-01-02 00:00:00,CUST1385,Notebook Set,3,8.08,India
INV503876,2025-01-02 00:00:00,CUST1396,Mechanical Keyboard,3,56.34,India
INV500289,2025-01-03 00:00:00,CUST1026,Phone Case,3,9.45,Singapore
INV500289,2025-01-03 00:00:00,CUST1026,Desk Lamp,3,24.02,India
INV500582,2025-01-03 00:00:00,CUST1053,Desk Lamp,4,31.1,United Kingdom
INV500582,2025-01-03 00:00:00,CUST1053,Bluetooth Speaker,3,44.47,India
INV500605,2025-01-03 00:00:00,CUST1056,Wireless Mouse,1,16.92,United Kingdom
INV500605,2025-01-03 00:00:00,CUST1056,Power Bank,3,25.28,India
INV500636,2025-01-03 00:00:00,CUST1060,Portable SSD,1,79.21,India
INV500636,2025-01-03 00:00:00,CUST1060,Notebook Set,3,7.87,India
INV500636,2025-01-03 00:00:00,CUST1060,Water Bottle,1,13.63,Singapore
INV501275,2025-01-03 00:00:00,CUST1128,Webcam,2,41.57,India
INV501275,2025-01-03 00:00:00,CUST1128,Laptop Stand,2,35.02,India
INV501386,2025-01-03 00:00:00,CUST1138,Backpack,1,31.42,UAE
INV501386,2025-01-03 00:00:00,CUST1138,Water Bottle,2,12.3,Singapore
INV501570,2025-01-03 00:00:00,CUST1159,Backpack,1,40.45,India
INV501700,2025-01-03 00:00:00,CUST1170,Charging Cable,3,9.76,UAE
INV501960,2025-01-03 00:00:00,CUST1196,Charging Cable,1,5.87,India
INV501960,2025-01-03 00:00:00,CUST1196,Desk Lamp,3,22.63,Singapore
INV502154,2025-01-03 00:00:00,CUST1214,Headphones,1,50.54,Singapore
INV502154,2025-01-03 00:00:00,CUST1214,Notebook Set,1,7.66,India
INV502547,2025-01-03 00:00:00,CUST1259,Mechanical Keyboard,3,55.67,Singapore
INV502547,2025-01-03 00:00:00,CUST1259,Power Bank,3,30.58,UAE
INV502547,2025-01-03 00:00:00,CUST1259,Fitness Band,3,35.87,India
INV502616,2025-01-03 00:00:00,CUST1267,Backpack,2,37.82,India
INV502973,2025-01-03 00:00:00,CUST1300,HDMI Cable,3,8.84,India
INV502973,2025-01-03 00:00:00,CUST1300,HDMI Cable,1,8.25,United Kingdom
INV503265,2025-01-03 00:00:00,CUST1329,USB-C Hub,4,24.65,India
INV503425,2025-01-03 00:00:00,CUST1346,Backpack,2,35.72,United Kingdom
INV503452,2025-01-03 00:00:00,CUST1350,Gaming Mouse Pad,4,17.51,India
INV503452,2025-01-03 00:00:00,CUST1350,HDMI Cable,4,9.13,UAE
INV503452,2025-01-03 00:00:00,CUST1350,Gaming Mouse Pad,3,19.1,India
INV503531,2025-01-03 00:00:00,CUST1358,HDMI Cable,2,8.12,India
INV503531,2025-01-03 00:00:00,CUST1358,Headphones,4,46.93,India
INV503733,2025-01-03 00:00:00,CUST1382,Water Bottle,2,13.23,India
INV503733,2025-01-03 00:00:00,CUST1382,Backpack,1,35.73,Singapore
INV503733,2025-01-03 00:00:00,CUST1382,Bluetooth Speaker,4,41.13,India
INV503821,2025-01-03 00:00:00,CUST1391,HDMI Cable,3,8.14,India
INV500220,2025-01-04 00:00:00,CUST1019,Webcam,2,41.16,UAE
INV500220,2025-01-04 00:00:00,CUST1019,Notebook Set,2,7.62,UAE
INV500539,2025-01-04 00:00:00,CUST1048,Power Bank,1,29.33,India
INV500539,2025-01-04 00:00:00,CUST1048,USB-C Hub,2,29.19,Singapore
INV500539,2025-01-04 00:00:00,CUST1048,Mini Tripod,2,12.92,UAE
INV500974,2025-01-04 00:00:00,CUST1095,Power Bank,5,42.31,India
INV501256,2025-01-04 00:00:00,,Mini Tripod,2,17.91,India
INV501256,2025-01-04 00:00:00,CUST1127,Charging Cable,2,9.41,UAE
INV501547,2025-01-04 00:00:00,CUST1156,Water Bottle,4,16.52,United Kingdom
INV502265,2025-01-04 00:00:00,CUST1230,Mechanical Keyboard,3,47.87,India
INV502265,2025-01-04 00:00:00,CUST1230,Charging Cable,3,5.13,India
INV502667,2025-01-04 00:00:00,CUST1272,Webcam,2,52.72,India
INV502667,2025-01-04 00:00:00,CUST1272,USB-C Hub,1,34.35,Singapore
INV502667,2025-01-04 00:00:00,CUST1272,Power Bank,4,27.49,India
INV503335,2025-01-04 00:00:00,CUST1337,Portable SSD,4,98.09,Singapore
INV503335,2025-01-04 00:00:00,CUST1337,Mini Tripod,1,12.34,India
INV503431,2025-01-04 00:00:00,CUST1347,Water Bottle,1,13.03,India
INV500071,2025-01-05 00:00:00,CUST1007,Charging Cable,3,6.65,United Kingdom
INV500071,2025-01-05 00:00:00,CUST1007,HDMI Cable,3,9.09,United Kingdom
INV500209,2025-01-05 00:00:00,CUST1018,Gaming Mouse Pad,1,13.69,India
INV500286,2025-01-05 00:00:00,CUST1026,Gaming Mouse Pad,4,17.13,Singapore
INV500286,2025-01-05 00:00:00,CUST1026,Phone Case,4,11.33,India
INV500768,2025-01-05 00:00:00,CUST1076,Power Bank,4,23.25,United Kingdom
INV500768,2025-01-05 00:00:00,CUST1076,Fitness Band,3,27.81,India
INV501279,2025-01-05 00:00:00,CUST1129,Charging Cable,3,7.1,India
INV501279,2025-01-05 00:00:00,CUST1129,Fitness Band,1,38.05,United Kingdom
INV502184,2025-01-05 00:00:00,CUST1219,Backpack,2,40.16,United Kingdom
INV502905,2025-01-05 00:00:00,CUST1294,Backpack,1,35.06,India
INV503319,2025-01-05 00:00:00,CUST1335,Mini Tripod,1,12.81,India
INV503319,2025-01-05 00:00:00,CUST1335,Fitness Band,1,30.94,India
INV500352,2025-01-06 00:00:00,CUST1029,Notebook Set,2,8.86,United Kingdom
INV500352,2025-01-06 00:00:00,CUST1029,USB-C Hub,2,31.41,United Kingdom
CINV500352,2025-01-06 00:00:00,CUST1029,Backpack,-1,40.33,India
INV500359,2025-01-06 00:00:00,CUST1031,Phone Case,4,10.27,UAE
INV500628,2025-01-06 00:00:00,CUST1059,Power Bank,3,27.45,India
INV500628,2025-01-06 00:00:00,CUST1059,Mini Tripod,4,12.99,United Kingdom
INV500628,2025-01-06 00:00:00,CUST1059,USB-C Hub,1,31.18,India
INV501165,2025-01-06 00:00:00,CUST1116,Portable SSD,2,83.26,India
INV501165,2025-01-06 00:00:00,CUST1116,Desk Lamp,4,20.63,India
INV501165,2025-01-06 00:00:00,CUST1116,Phone Case,3,9.06,Singapore
INV501517,2025-01-06 00:00:00,CUST1153,Desk Lamp,1,23.42,India
INV501583,2025-01-06 00:00:00,CUST1161,USB-C Hub,5,37.89,United Kingdom
INV501607,2025-01-06 00:00:00,CUST1161,Portable SSD,6,105.63,India
INV502217,2025-01-06 00:00:00,CUST1224,Mechanical Keyboard,3,42.99,Singapore
INV502217,2025-01-06 00:00:00,CUST1224,Water Bottle,1,10.98,India
INV500147,2025-01-07 00:00:00,CUST1011,Phone Case,4,9.77,Singapore
INV500147,2025-01-07 00:00:00,CUST1011,Gaming Mouse Pad,3,18.26,UAE
INV500184,2025-01-07 00:00:00,CUST1014,Fitness Band,2,42.94,India
INV500184,2025-01-07 00:00:00,CUST1014,Desk Lamp,1,29.05,Singapore
INV500525,2025-01-07 00:00:00,CUST1047,HDMI Cable,4,12.05,India
INV500525,2025-01-07 00:00:00,CUST1047,HDMI Cable,6,11.14,India
INV500525,2025-01-07 00:00:00,CUST1047,USB-C Hub,6,43.36,India
INV500782,2025-01-07 00:00:00,CUST1077,Phone Case,2,10.88,India
INV501330,2025-01-07 00:00:00,CUST1133,Fitness Band,3,29.82,India
INV501330,2025-01-07 00:00:00,CUST1133,Power Bank,3,28.36,India
INV501514,2025-01-07 00:00:00,CUST1152,Mini Tripod,1,10.91,India
INV501578,2025-01-07 00:00:00,CUST1160,Wireless Mouse,4,16.03,Singapore
INV502162,2025-01-07 00:00:00,CUST1215,Headphones,1,43.91,Singapore
INV502162,2025-01-07 00:00:00,CUST1215,Headphones,1,43.81,India
INV502162,2025-01-07 00:00:00,CUST1215,HDMI Cable,3,7.65,India
INV503178,2025-01-07 00:00:00,CUST1321,Smartwatch Strap,1,13.91,India
INV503178,2025-01-07 00:00:00,CUST1321,Wireless Mouse,4,18.85,India
INV503598,2025-01-07 00:00:00,CUST1366,Wireless Mouse,2,15.82,India
INV503827,2025-01-07 00:00:00,CUST1391,Mini Tripod,3,11.99,India
INV500192,2025-01-08 00:00:00,CUST1016,Desk Lamp,1,21.75,India
INV500192,2025-01-08 00:00:00,CUST1016,Phone Case,1,8.47,Singapore
INV500192,2025-01-08 00:00:00,CUST1016,Webcam,3,38.16,India
INV500392,2025-01-08 00:00:00,CUST1037,Backpack,3,38.16,India
INV500392,2025-01-08 00:00:00,CUST1037,Mini Tripod,2,11.38,UAE
INV500840,2025-01-08 00:00:00,CUST1083,HDMI Cable,2,7.04,United Kingdom
INV500890,2025-01-08 00:00:00,CUST1089,Portable SSD,6,110.72,Singapore
INV500978,2025-01-08 00:00:00,CUST1096,Power Bank,2,25.31,India
INV500978,2025-01-08 00:00:00,CUST1096,HDMI Cable,3,7.42,India
INV501117,2025-01-08 00:00:00,CUST1110,Mini Tripod,1,11.51,Singapore
INV501117,2025-01-08 00:00:00,CUST1110,Wireless Mouse,2,18.07,India
INV501410,2025-01-08 00:00:00,CUST1140,Water Bottle,3,17.67,India
INV501410,2025-01-08 00:00:00,CUST1140,Portable SSD,3,108.03,Singapore
INV501611,2025-01-08 00:00:00,CUST1163,Bluetooth Speaker,4,38.47,United Kingdom
INV501611,2025-01-08 00:00:00,CUST1163,Laptop Stand,4,31.91,United Kingdom
INV501722,2025-01-08 00:00:00,CUST1172,Backpack,1,29.16,India
INV501722,2025-01-08 00:00:00,CUST1172,Bluetooth Speaker,2,29.9,India
INV501755,2025-01-08 00:00:00,CUST1176,Wireless Mouse,1,16.26,India
INV501755,2025-01-08 00:00:00,CUST1176,Smartwatch Strap,3,11.51,India
INV501755,2025-01-08 00:00:00,CUST1176,Fitness Band,2,29.43,India
INV501959,2025-01-08 00:00:00,CUST1196,Mechanical Keyboard,3,56.49,United Kingdom
INV502165,2025-01-08 00:00:00,CUST1216,HDMI Cable,1,10.6,India
INV502165,2025-01-08 00:00:00,CUST1216,Fitness Band,4,40.23,India
INV502619,2025-01-08 00:00:00,CUST1267,Mechanical Keyboard,2,59.32,Singapore
INV502619,2025-01-08 00:00:00,CUST1267,Laptop Stand,2,30.79,Singapore
INV502619,2025-01-08 00:00:00,CUST1267,Water Bottle,2,14.17,India
INV502651,2025-01-08 00:00:00,CUST1271,Water Bottle,3,12.99,India
INV502651,2025-01-08 00:00:00,CUST1271,USB-C Hub,3,27.05,India
INV502651,2025-01-08 00:00:00,CUST1271,Mechanical Keyboard,3,51.2,India
INV502652,2025-01-08 00:00:00,CUST1271,Laptop Stand,1,31.78,UAE
INV502652,2025-01-08 00:00:00,CUST1271,Headphones,3,49.53,India
INV502652,2025-01-08 00:00:00,CUST1271,Notebook Set,3,7.22,UAE
INV502958,2025-01-08 00:00:00,CUST1299,HDMI Cable,6,12.95,India
INV502958,2025-01-08 00:00:00,CUST1299,Gaming Mouse Pad,4,21.86,United Kingdom
INV502958,2025-01-08 00:00:00,CUST1299,Mechanical Keyboard,6,73.91,Singapore
INV503057,2025-01-08 00:00:00,CUST1308,Bluetooth Speaker,4,38.18,India
INV503057,2025-01-08 00:00:00,CUST1308,Notebook Set,3,6.6,UAE
INV503057,2025-01-08 00:00:00,CUST1308,Phone Case,4,9.94,India
INV503585,2025-01-08 00:00:00,CUST1364,Fitness Band,2,27.27,United Kingdom
INV500281,2025-01-09 00:00:00,CUST1026,Backpack,2,39.16,India
INV500281,2025-01-09 00:00:00,CUST1026,Water Bottle,2,14.75,India
INV500281,2025-01-09 00:00:00,CUST1026,Fitness Band,4,33.21,Singapore
INV500295,2025-01-09 00:00:00,CUST1027,Backpack,2,44.89,United Kingdom
INV500832,2025-01-09 00:00:00,CUST1082,Bluetooth Speaker,1,36.36,United Kingdom
INV500832,2025-01-09 00:00:00,CUST1082,Notebook Set,4,8.08,UAE
INV501477,2025-01-09 00:00:00,CUST1147,Phone Case,3,7.67,India
INV501477,2025-01-09 00:00:00,CUST1147,Laptop Stand,3,24.32,India
INV502040,2025-01-09 00:00:00,CUST1204,Webcam,3,47.52,UAE
INV502040,2025-01-09 00:00:00,CUST1204,Wireless Mouse,2,19.44,United Kingdom
INV502040,2025-01-09 00:00:00,CUST1204,USB-C Hub,2,31.45,UAE
INV502647,2025-01-09 00:00:00,CUST1270,Mechanical Keyboard,2,75.59,United Kingdom
INV502647,2025-01-09 00:00:00,CUST1270,USB-C Hub,4,39.62,India
INV502647,2025-01-09 00:00:00,CUST1270,Phone Case,3,13.01,Singapore
INV502998,2025-01-09 00:00:00,CUST1303,Bluetooth Speaker,2,42.65,India
INV502998,2025-01-09 00:00:00,CUST1303,Power Bank,4,30.72,United Kingdom
INV502998,2025-01-09 00:00:00,CUST1303,Headphones,3,46.94,India
INV503384,2025-01-09 00:00:00,CUST1342,Smartwatch Strap,4,11.25,India
INV503655,2025-01-09 00:00:00,CUST1373,Headphones,1,47.71,UAE
INV503655,2025-01-09 00:00:00,CUST1373,Wireless Mouse,3,17.78,India
INV503655,2025-01-09 00:00:00,CUST1373,Smartwatch Strap,2,10.84,Singapore
INV503754,2025-01-09 00:00:00,CUST1384,Power Bank,3,27.6,India
INV500047,2025-01-10 00:00:00,CUST1004,Wireless Mouse,2,19.1,UAE
INV500047,2025-01-10 00:00:00,CUST1004,Webcam,1,45.7,India
INV500421,2025-01-10 00:00:00,CUST1042,Water Bottle,4,21.47,India
INV500553,2025-01-10 00:00:00,CUST1050,Bluetooth Speaker,1,43.45,India
INV500553,2025-01-10 00:00:00,CUST1050,Laptop Stand,4,33.31,United Kingdom
INV500553,2025-01-10 00:00:00,CUST1050,Smartwatch Strap,1,13.55,India
INV500627,2025-01-10 00:00:00,CUST1059,Power Bank,3,28.78,Singapore
INV500627,2025-01-10 00:00:00,CUST1059,Notebook Set,2,7.96,India
INV500627,2025-01-10 00:00:00,CUST1059,Headphones,2,51.76,Singapore
INV500741,2025-01-10 00:00:00,CUST1073,Gaming Mouse Pad,1,16.12,India
INV501007,2025-01-10 00:00:00,CUST1100,Portable SSD,3,101.9,India
INV501007,2025-01-10 00:00:00,CUST1100,Backpack,1,42.23,Singapore
INV501007,2025-01-10 00:00:00,CUST1100,Headphones,2,50.06,India
INV501137,2025-01-10 00:00:00,CUST1113,Wireless Mouse,1,17.43,United Kingdom
INV501137,2025-01-10 00:00:00,CUST1113,HDMI Cable,2,8.65,India
INV501204,2025-01-10 00:00:00,CUST1123,Desk Lamp,1,23.83,Singapore
INV501204,2025-01-10 00:00:00,CUST1123,Desk Lamp,1,26.56,India
INV501353,2025-01-10 00:00:00,CUST1135,Power Bank,3,35.9,UAE
INV501353,2025-01-10 00:00:00,CUST1135,Water Bottle,2,16.11,UAE
INV501565,2025-01-10 00:00:00,CUST1159,Webcam,2,49.1,India
INV501565,2025-01-10 00:00:00,CUST1159,Mini Tripod,3,13.33,Singapore
INV501565,2025-01-10 00:00:00,CUST1159,Laptop Stand,3,35.23,Singapore
INV501741,2025-01-10 00:00:00,CUST1175,Power Bank,1,26.0,Singapore
INV502132,2025-01-10 00:00:00,CUST1213,Laptop Stand,3,29.2,Singapore
INV502132,2025-01-10 00:00:00,CUST1213,Mechanical Keyboard,4,52.8,United Kingdom
INV502132,2025-01-10 00:00:00,CUST1213,Fitness Band,2,30.53,United Kingdom
INV502373,2025-01-10 00:00:00,CUST1239,Power Bank,3,26.22,India
INV502373,2025-01-10 00:00:00,CUST1239,Smartwatch Strap,1,11.89,India
INV502373,2025-01-10 00:00:00,CUST1239,Portable SSD,1,82.7,India
INV502390,2025-01-10 00:00:00,CUST1241,Desk Lamp,1,25.54,India
INV502390,2025-01-10 00:00:00,CUST1241,Fitness Band,1,30.05,United Kingdom
INV502390,2025-01-10 00:00:00,CUST1241,Gaming Mouse Pad,1,15.02,India
INV502559,2025-01-10 00:00:00,CUST1260,HDMI Cable,4,8.81,Singapore
INV502559,2025-01-10 00:00:00,CUST1260,Mechanical Keyboard,2,55.16,India
INV502559,2025-01-10 00:00:00,CUST1260,Desk Lamp,4,25.14,India
INV502706,2025-01-10 00:00:00,CUST1276,Fitness Band,4,44.18,India
INV503194,2025-01-10 00:00:00,CUST1323,Bluetooth Speaker,1,38.69,India
INV503194,2025-01-10 00:00:00,CUST1323,Smartwatch Strap,4,13.5,India
INV503548,2025-01-10 00:00:00,CUST1359,Portable SSD,4,118.18,United Kingdom
INV503548,2025-01-10 00:00:00,CUST1359,Wireless Mouse,2,26.76,UAE
INV500228,2025-01-11 00:00:00,CUST1020,Desk Lamp,3,31.54,Singapore
INV500228,2025-01-11 00:00:00,CUST1020,Webcam,3,55.21,United Kingdom
INV500819,2025-01-11 00:00:00,CUST1080,Wireless Mouse,2,19.33,India
INV500819,2025-01-11 00:00:00,CUST1080,Backpack,3,33.98,India
INV500819,2025-01-11 00:00:00,CUST1080,Portable SSD,1,86.19,United Kingdom
INV500848,2025-01-11 00:00:00,CUST1084,Bluetooth Speaker,3,38.46,Singapore
INV501969,2025-01-11 00:00:00,CUST1197,Portable SSD,1,77.88,Singapore
